"","shift","variable","rho"
"121",12,"positivity",0.755871761903359
"122",12,"cases",-0.161648325334359
"123",12,"death",0.777889597587401
"124",13,"positivity",0.742737891996797
"125",13,"cases",-0.172494912834052
"126",13,"death",0.80143559039473
"127",14,"positivity",0.727279030898192
"128",14,"cases",-0.183454124504254
"129",14,"death",0.819970527650119
"130",15,"positivity",0.716798436111612
"131",15,"cases",-0.195487854837666
"132",15,"death",0.830964241489002
"133",16,"positivity",0.707311301066108
"134",16,"cases",-0.210654404615893
"135",16,"death",0.83422906855335
"136",17,"positivity",0.695087285729306
"137",17,"cases",-0.226787563332031
"138",17,"death",0.82947643680645
"139",18,"positivity",0.680339901137817
"140",18,"cases",-0.242132061114921
"141",18,"death",0.823301444226413
"142",19,"positivity",0.662992432746249
"143",19,"cases",-0.257080195718548
"144",19,"death",0.815943612089242
"145",20,"positivity",0.64340579058611
"146",20,"cases",-0.269871008210373
"147",20,"death",0.805294450783969
"148",21,"positivity",0.62474275455979
"149",21,"cases",-0.283175164369363
"150",21,"death",0.7880092123299
"151",22,"positivity",0.594266859638954
"152",22,"cases",-0.295958033094368
"153",22,"death",0.767873695177443
"154",23,"positivity",0.564057581933346
"155",23,"cases",-0.306468939065717
"156",23,"death",0.748800220570232
"157",24,"positivity",0.531829442702583
"158",24,"cases",-0.318073156027626
"159",24,"death",0.734976312433022
"160",25,"positivity",0.505219470132466
"161",25,"cases",-0.331929364655297
"162",25,"death",0.721651899666308
"163",26,"positivity",0.474458927426051
"164",26,"cases",-0.345827481570217
"165",26,"death",0.704217914678965
"166",27,"positivity",0.445302215146901
"167",27,"cases",-0.361805442701102
"168",27,"death",0.688475380269185
"169",28,"positivity",0.417507246510567
"170",28,"cases",-0.379029290264339
"171",28,"death",0.677138455738635
