"","shift","variable","rho"
"104",6,"cases",0.0245043133636717
"105",6,"death",0.549985406456949
"106",7,"positivity",0.727460012571608
"107",7,"cases",0.024322061184317
"108",7,"death",0.594065839177493
"109",8,"positivity",0.712027958833732
"110",8,"cases",0.021442988849759
"111",8,"death",0.637574017282809
"112",9,"positivity",0.700073259884102
"113",9,"cases",0.0169988851321719
"114",9,"death",0.674855568179112
"115",10,"positivity",0.688180539846139
"116",10,"cases",0.00882482107445323
"117",10,"death",0.703014987898384
"118",11,"positivity",0.679024498252973
"119",11,"cases",-0.00183532580020798
"120",11,"death",0.728621249574402
"121",12,"positivity",0.674456596222008
"122",12,"cases",-0.0136970141288508
"123",12,"death",0.747379939673078
"124",13,"positivity",0.664235040768286
"125",13,"cases",-0.0248425925037636
"126",13,"death",0.759780929259162
"127",14,"positivity",0.659590063046006
"128",14,"cases",-0.0391873831166704
"129",14,"death",0.767733911679775
"130",15,"positivity",0.653917278569857
"131",15,"cases",-0.0537977498244371
"132",15,"death",0.770686559508047
"133",16,"positivity",0.643000078289296
"134",16,"cases",-0.0706741108600552
"135",16,"death",0.770318134747653
"136",17,"positivity",0.626563153227659
"137",17,"cases",-0.0901354186199416
"138",17,"death",0.763752624563598
"139",18,"positivity",0.611235194105122
"140",18,"cases",-0.110079947134475
"141",18,"death",0.755002990378849
"142",19,"positivity",0.592676085260151
"143",19,"cases",-0.12982341894049
"144",19,"death",0.747848593174597
"145",20,"positivity",0.574878074429053
"146",20,"cases",-0.148775827402851
"147",20,"death",0.740050482122399
"148",21,"positivity",0.544138176873902
"149",21,"cases",-0.169061323735134
"150",21,"death",0.728730266026713
"151",22,"positivity",0.517777787117783
"152",22,"cases",-0.190084435889742
"153",22,"death",0.718046904715439
"154",23,"positivity",0.488584141798128
"155",23,"cases",-0.208714888855235
"156",23,"death",0.706503687681447
"157",24,"positivity",0.467657899187999
"158",24,"cases",-0.226997328438435
"159",24,"death",0.699136179583799
"160",25,"positivity",0.437787664799667
"161",25,"cases",-0.247133819314149
"162",25,"death",0.690472331689666
"163",26,"positivity",0.403753912337322
"164",26,"cases",-0.266994730884159
"165",26,"death",0.682739459228882
"166",27,"positivity",0.369863239357368
"167",27,"cases",-0.288068819770736
"168",27,"death",0.674353443703821
"169",28,"positivity",0.337612723003283
"170",28,"cases",-0.310617924363084
"171",28,"death",0.669752949112709
